Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,313293,-,-,-,33.41,-111.94,-7,361,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2008,1,1,0,0,0,5.707531452178955,4.227868652343773
2008,1,1,0,30,0,5.764657497406006,4.009820556640648
2008,1,1,1,0,0,5.821783542633057,3.7918029785156477
2008,1,1,1,30,0,5.877623558044434,3.5541015625000227
2008,1,1,2,0,0,5.9334635734558105,3.3164306640625227
2008,1,1,2,30,0,5.953902244567871,3.0771423339843977
2008,1,1,3,0,0,5.974340438842773,2.8378845214843977
2008,1,1,3,30,0,5.939836502075195,2.5916076660156477
2008,1,1,4,0,0,5.905332565307617,2.3453308105468977
2008,1,1,4,30,0,5.830706596374512,2.1042724609375227
2008,1,1,5,0,0,5.7560811042785645,1.8632446289062727
2008,1,1,5,30,0,5.6566972732543945,1.6321044921875227
2008,1,1,6,0,0,5.557313442230225,1.4009643554687727
2008,1,1,6,30,0,5.464119911193848,1.2599426269531477
2008,1,1,7,0,0,5.370926856994629,1.1189208984375227
2008,1,1,7,30,0,5.285977363586426,2.0981384277343977
2008,1,1,8,0,29,5.201027870178223,3.0773254394531477
2008,1,1,8,30,75,4.9939866065979,5.155023193359398
2008,1,1,9,0,131,4.786945343017578,7.232720947265648
2008,1,1,9,30,332,4.654834747314453,9.887963867187523
2008,1,1,10,0,413,4.522724628448486,12.543176269531273
2008,1,1,10,30,483,4.620862007141113,14.615777587890648
2008,1,1,11,0,539,4.718998908996582,16.688348388671898
2008,1,1,11,30,451,4.716179847717285,17.766351318359398
2008,1,1,12,0,605,4.71336030960083,18.844354248046898
2008,1,1,12,30,470,4.604499816894531,19.315484619140648
2008,1,1,13,0,408,4.495639324188232,19.786584472656273
2008,1,1,13,30,451,4.404199123382568,19.773614501953148
2008,1,1,14,0,393,4.312758922576904,19.760614013671898
2008,1,1,14,30,390,4.108755111694336,19.298028564453148
2008,1,1,15,0,325,3.9047513008117676,18.835473632812523
2008,1,1,15,30,203,3.7065610885620117,17.417443847656273
2008,1,1,16,0,156,3.5083706378936768,15.999383544921898
2008,1,1,16,30,76,3.7000341415405273,14.633599853515648
2008,1,1,17,0,31,3.891697883605957,13.267816162109398
2008,1,1,17,30,0,4.196334362030029,12.975854492187523
2008,1,1,18,0,0,4.500970840454102,12.683892822265648
2008,1,1,18,30,0,4.745171070098877,12.319635009765648
2008,1,1,19,0,0,4.989371299743652,11.955377197265648
