Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,313293,-,-,-,33.41,-111.94,-7,361,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2009,1,1,0,0,0,1.4148530960083008,10.575433349609398
2009,1,1,0,30,0,1.465926170349121,10.383569335937523
2009,1,1,1,0,0,1.516999363899231,10.191735839843773
2009,1,1,1,30,0,1.4856736660003662,9.970971679687523
2009,1,1,2,0,0,1.454348087310791,9.750207519531273
2009,1,1,2,30,0,1.4348864555358887,9.477349853515648
2009,1,1,3,0,0,1.4154248237609863,9.204492187500023
2009,1,1,3,30,0,1.4224841594696045,8.922082519531273
2009,1,1,4,0,0,1.4295436143875122,8.639672851562523
2009,1,1,4,30,0,1.4890060424804688,8.383355712890648
2009,1,1,5,0,0,1.5484685897827148,8.127008056640648
2009,1,1,5,30,0,1.6391918659210205,7.921166992187523
2009,1,1,6,0,0,1.7299151420593262,7.715356445312523
2009,1,1,6,30,0,1.8048957586288452,7.648095703125023
2009,1,1,7,0,0,1.8798763751983643,7.580834960937523
2009,1,1,7,30,0,2.002139091491699,8.966149902343773
2009,1,1,8,0,54,2.124401807785034,10.351434326171898
2009,1,1,8,30,142,2.098431348800659,12.140893554687523
2009,1,1,9,0,235,2.072460889816284,13.930352783203148
2009,1,1,9,30,324,1.7913620471954346,15.555718994140648
2009,1,1,10,0,404,1.5102630853652954,17.181115722656273
2009,1,1,10,30,473,1.2050033807754517,18.581903076171898
2009,1,1,11,0,529,0.8997436761856079,19.982659912109398
2009,1,1,11,30,571,0.667312502861023,20.761285400390648
2009,1,1,12,0,596,0.4348813593387604,21.539910888671898
2009,1,1,12,30,605,0.41312891244888306,21.913995361328148
2009,1,1,13,0,598,0.39137643575668335,22.288110351562523
2009,1,1,13,30,574,0.4499066174030304,22.168939208984398
2009,1,1,14,0,534,0.5084367990493774,22.049768066406273
2009,1,1,14,30,480,0.5609968900680542,21.414849853515648
2009,1,1,15,0,412,0.6135570406913757,20.779901123046898
2009,1,1,15,30,333,0.7056500911712646,19.298059082031273
2009,1,1,16,0,245,0.7977432012557983,17.816217041015648
2009,1,1,16,30,152,0.8496313691139221,16.128259277343773
2009,1,1,17,0,63,0.9015195369720459,14.440301513671898
