Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,890540,-,-,-,41.89,-87.62,-6,179,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2003,1,1,0,0,0,7.217799186706543,-2.1827148437499773
2003,1,1,0,30,0,7.236227035522461,-2.2540649414062273
2003,1,1,1,0,0,7.254654884338379,-2.3254150390624773
2003,1,1,1,30,0,7.385700225830078,-2.3699096679687273
2003,1,1,2,0,0,7.516745090484619,-2.4144348144531023
2003,1,1,2,30,0,7.83388614654541,-2.3791564941406023
2003,1,1,3,0,0,8.151026725769043,-2.3439086914062273
2003,1,1,3,30,0,8.567957878112793,-2.2920593261718523
2003,1,1,4,0,0,8.984889030456543,-2.2402099609374773
2003,1,1,4,30,0,9.396620750427246,-2.2475036621093523
2003,1,1,5,0,0,9.80835247039795,-2.2548278808593523
2003,1,1,5,30,0,9.974899291992188,-2.3202575683593523
2003,1,1,6,0,0,10.14144515991211,-2.3856872558593523
2003,1,1,6,30,0,10.131032943725586,-2.4314941406249773
2003,1,1,7,0,0,10.120621681213379,-2.4773010253906023
2003,1,1,7,30,7,10.063831329345703,-2.3122924804687273
2003,1,1,8,0,55,10.007040977478027,-2.1472534179687273
2003,1,1,8,30,115,9.964469909667969,-1.9560302734374773
2003,1,1,9,0,135,9.92189884185791,-1.7648071289062273
2003,1,1,9,30,176,9.79030990600586,-1.6539978027343523
2003,1,1,10,0,212,9.658721923828125,-1.5431884765624773
2003,1,1,10,30,175,9.433399200439453,-1.4704040527343523
2003,1,1,11,0,190,9.208077430725098,-1.3976501464843523
2003,1,1,11,30,160,8.952953338623047,-1.2789978027343523
2003,1,1,12,0,101,8.697830200195312,-1.1603454589843523
2003,1,1,12,30,281,8.452753067016602,-1.1800292968749773
2003,1,1,13,0,152,8.207676887512207,-1.1997131347656023
2003,1,1,13,30,210,8.066554069519043,-1.3182128906249773
2003,1,1,14,0,85,7.925430774688721,-1.4367431640624773
2003,1,1,14,30,159,7.830595016479492,-1.6023620605468523
2003,1,1,15,0,137,7.7357587814331055,-1.7680114746093523
2003,1,1,15,30,86,7.673831939697266,-1.9512695312499773
2003,1,1,16,0,44,7.611904621124268,-2.1345581054687273
2003,1,1,16,30,0,7.587347030639648,-2.1414245605468523
2003,1,1,17,0,0,7.562788963317871,-2.1483215332031023
2003,1,1,17,30,0,7.601006031036377,-2.1441711425781023
2003,1,1,18,0,0,7.639223098754883,-2.1400512695312273
2003,1,1,18,30,0,7.656310081481934,-2.1529907226562273
2003,1,1,19,0,0,7.673396587371826,-2.1659301757812273
2003,1,1,19,30,0,7.63057279586792,-2.1681884765624773
2003,1,1,20,0,0,7.587749004364014,-2.1704467773437273
2003,1,1,20,30,0,7.577657699584961,-2.1831726074218523
2003,1,1,21,0,0,7.567566871643066,-2.1958984374999773
2003,1,1,21,30,0,7.577960968017578,-2.2749694824218523
2003,1,1,22,0,0,7.588354587554932,-2.3540405273437273
2003,1,1,22,30,0,7.547267913818359,-2.4427856445312273
2003,1,1,23,0,0,7.506180763244629,-2.5315002441406023
2003,1,1,23,30,0,7.347322463989258,-2.5680603027343523
2003,1,2,0,0,0,7.188464641571045,-2.6046203613281023
2003,1,2,0,30,0,7.100320816040039,-2.6026062011718523
2003,1,2,1,0,0,7.012176990509033,-2.6005920410156023
2003,1,2,1,30,0,6.878017425537109,-2.5622009277343523
2003,1,2,2,0,0,6.743857383728027,-2.5238098144531023
2003,1,2,2,30,0,6.675686836242676,-2.4974426269531023
2003,1,2,3,0,0,6.607516765594482,-2.4710449218749773
2003,1,2,3,30,0,6.701879024505615,-2.4595397949218523
2003,1,2,4,0,0,6.796241283416748,-2.4480346679687273
2003,1,2,4,30,0,6.860315322875977,-2.4489196777343523
2003,1,2,5,0,0,6.924389839172363,-2.4497741699218523
2003,1,2,5,30,0,6.909757614135742,-2.4666809082031023
2003,1,2,6,0,0,6.895124912261963,-2.4835876464843523
2003,1,2,6,30,0,6.7994065284729,-2.5007995605468523
2003,1,2,7,0,0,6.703688144683838,-2.5180419921874773
2003,1,2,7,30,4,6.590666770935059,-2.4748291015624773
2003,1,2,8,0,35,6.477645397186279,-2.4316162109374773
2003,1,2,8,30,72,6.303656578063965,-2.3586181640624773
2003,1,2,9,0,49,6.129668235778809,-2.2856201171874773
2003,1,2,9,30,117,5.988921165466309,-2.2049621582031023
2003,1,2,10,0,48,5.848174095153809,-2.1243041992187273
2003,1,2,10,30,126,5.785650253295898,-2.0910095214843523
2003,1,2,11,0,153,5.7231268882751465,-2.0577148437499773
2003,1,2,11,30,261,5.764033317565918,-2.0748962402343523
2003,1,2,12,0,192,5.8049397468566895,-2.0920471191406023
2003,1,2,12,30,153,5.888689041137695,-2.1514648437499773
2003,1,2,13,0,124,5.972437858581543,-2.2108825683593523
2003,1,2,13,30,117,6.015985488891602,-2.2937988281249773
2003,1,2,14,0,214,6.059532642364502,-2.3767150878906023
2003,1,2,14,30,35,6.0107927322387695,-2.4224609374999773
2003,1,2,15,0,73,5.962052345275879,-2.4682373046874773
2003,1,2,15,30,46,5.834463119506836,-2.4648498535156023
2003,1,2,16,0,23,5.706873893737793,-2.4614624023437273
2003,1,2,16,30,0,5.4988813400268555,-2.4052185058593523
2003,1,2,17,0,0,5.29088830947876,-2.3490051269531023
2003,1,2,17,30,0,5.097529411315918,-2.3070434570312273
2003,1,2,18,0,0,4.904170513153076,-2.2650512695312273
2003,1,2,18,30,0,4.778182029724121,-2.2433227539062273
2003,1,2,19,0,0,4.652193069458008,-2.2215942382812273
2003,1,2,19,30,0,4.5581159591674805,-2.2106994628906023
2003,1,2,20,0,0,4.464038848876953,-2.1998352050781023
2003,1,2,20,30,0,4.483506202697754,-2.2362731933593523
2003,1,2,21,0,0,4.502973556518555,-2.2727111816406023
2003,1,2,21,30,0,4.615577697753906,-2.3312744140624773
2003,1,2,22,0,0,4.728181838989258,-2.3898376464843523
2003,1,2,22,30,0,4.836181640625,-2.4546264648437273
2003,1,2,23,0,0,4.944181442260742,-2.5193847656249773
2003,1,2,23,30,0,5.111044883728027,-2.5959838867187273
2003,1,3,0,0,0,5.277908802032471,-2.6725524902343523
2003,1,3,0,30,0,5.294371604919434,-2.7720703124999773
2003,1,3,1,0,0,5.3108344078063965,-2.8715881347656023
2003,1,3,1,30,0,5.221616268157959,-2.9862121582031023
2003,1,3,2,0,0,5.1323981285095215,-3.1008056640624773
2003,1,3,2,30,0,4.93464469909668,-3.2336791992187273
2003,1,3,3,0,0,4.736891269683838,-3.3665222167968523
2003,1,3,3,30,0,4.51399040222168,-3.4914916992187273
2003,1,3,4,0,0,4.291089057922363,-3.6164611816406023
2003,1,3,4,30,0,4.178250312805176,-3.7068542480468523
2003,1,3,5,0,0,4.065411567687988,-3.7972473144531023
2003,1,3,5,30,0,3.996875286102295,-3.8693603515624773
2003,1,3,6,0,0,3.9283387660980225,-3.9414428710937273
2003,1,3,6,30,0,3.929687023162842,-3.9637512207031023
2003,1,3,7,0,0,3.9310355186462402,-3.9860290527343523
2003,1,3,7,30,4,4.059685230255127,-3.6803039550781023
2003,1,3,8,0,35,4.188334941864014,-3.3746093749999773
2003,1,3,8,30,73,4.195169448852539,-2.8200134277343523
2003,1,3,9,0,114,4.202003479003906,-2.2654174804687273
2003,1,3,9,30,153,4.154759407043457,-1.7657226562499773
2003,1,3,10,0,229,4.107515811920166,-1.2660583496093523
2003,1,3,10,30,300,4.082850456237793,-0.9224914550781023
2003,1,3,11,0,309,4.058185577392578,-0.5789245605468523
2003,1,3,11,30,344,4.073716163635254,-0.41840209960935226
2003,1,3,12,0,262,4.089247226715088,-0.25791015624997726
2003,1,3,12,30,136,4.11092472076416,-0.27115478515622726
2003,1,3,13,0,305,4.132602214813232,-0.28442993164060226
2003,1,3,13,30,243,4.151503086090088,-0.45062866210935226
2003,1,3,14,0,236,4.170403957366943,-0.6168273925781023
2003,1,3,14,30,204,4.220034599304199,-0.8386596679687273
2003,1,3,15,0,200,4.269665241241455,-1.0604919433593523
2003,1,3,15,30,127,4.24129056930542,-1.2749694824218523
2003,1,3,16,0,65,4.212915897369385,-1.4894470214843523
2003,1,3,16,30,0,4.1022162437438965,-1.4824890136718523
2003,1,3,17,0,0,3.991516351699829,-1.4755310058593523
2003,1,3,17,30,0,3.774496078491211,-1.4559082031249773
2003,1,3,18,0,0,3.5574758052825928,-1.4362854003906023
2003,1,3,18,30,0,3.208545207977295,-1.4450744628906023
2003,1,3,19,0,0,2.859614372253418,-1.4538635253906023
2003,1,3,19,30,0,2.433155059814453,-1.5953430175781023
2003,1,3,20,0,0,2.006695508956909,-1.7368225097656023
2003,1,3,20,30,0,1.6916453838348389,-1.9446472167968523
2003,1,3,21,0,0,1.376595139503479,-2.1525024414062273
2003,1,3,21,30,0,1.263275146484375,-2.2858337402343523
2003,1,3,22,0,0,1.1499552726745605,-2.4191955566406023
2003,1,3,22,30,0,1.1807780265808105,-2.5061706542968523
2003,1,3,23,0,0,1.2116007804870605,-2.5931457519531023
2003,1,3,23,30,0,1.2662150859832764,-2.6606201171874773
2003,1,4,0,0,0,1.3208292722702026,-2.7280639648437273
2003,1,4,0,30,0,1.5232657194137573,-2.7967285156249773
2003,1,4,1,0,0,1.725702166557312,-2.8653930664062273
2003,1,4,1,30,0,1.9961848258972168,-2.9886535644531023
2003,1,4,2,0,0,2.266667366027832,-3.1119445800781023
2003,1,4,2,30,0,2.4511473178863525,-3.2829650878906023
2003,1,4,3,0,0,2.635627269744873,-3.4539855957031023
2003,1,4,3,30,0,2.72556734085083,-3.6355041503906023
2003,1,4,4,0,0,2.815507411956787,-3.8170227050781023
2003,1,4,4,30,0,2.999361515045166,-4.040502929687477
