Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,890540,-,-,-,41.89,-87.62,-6,179,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2002,1,1,0,0,0,4.980508804321289,-10.532537841796852
2002,1,1,0,30,0,4.794332027435303,-10.670874023437477
2002,1,1,1,0,0,4.608155250549316,-10.809240722656227
2002,1,1,1,30,0,4.468400955200195,-10.930212402343727
2002,1,1,2,0,0,4.328646659851074,-11.051184082031227
2002,1,1,2,30,0,4.228302955627441,-11.118414306640602
2002,1,1,3,0,0,4.12795877456665,-11.185644531249977
2002,1,1,3,30,0,4.006067752838135,-11.216528320312477
2002,1,1,4,0,0,3.884176731109619,-11.247381591796852
2002,1,1,4,30,0,3.7296078205108643,-11.231604003906227
2002,1,1,5,0,0,3.5750389099121094,-11.215795898437477
2002,1,1,5,30,0,3.4090447425842285,-11.141394042968727
2002,1,1,6,0,0,3.2430505752563477,-11.067022705078102
2002,1,1,6,30,0,3.0763630867004395,-10.920172119140602
2002,1,1,7,0,0,2.9096755981445312,-10.773321533203102
2002,1,1,7,30,7,2.7527763843536377,-10.441442871093727
2002,1,1,8,0,58,2.595877170562744,-10.109564208984352
2002,1,1,8,30,120,2.4670400619506836,-9.461676025390602
2002,1,1,9,0,111,2.338202953338623,-8.813757324218727
2002,1,1,9,30,208,2.300863742828369,-7.998052978515602
2002,1,1,10,0,254,2.2635247707366943,-7.182379150390602
2002,1,1,10,30,278,2.227621078491211,-6.620794677734352
2002,1,1,11,0,297,2.1917176246643066,-6.059240722656227
2002,1,1,11,30,350,2.1159286499023438,-5.651281738281227
2002,1,1,12,0,343,2.04013991355896,-5.243322753906227
2002,1,1,12,30,363,1.9722946882247925,-4.974310302734352
2002,1,1,13,0,15,1.904449462890625,-4.705297851562477
2002,1,1,13,30,293,1.8914594650268555,-4.638372802734352
2002,1,1,14,0,286,1.8784693479537964,-4.571447753906227
2002,1,1,14,30,202,1.9256799221038818,-4.750646972656227
2002,1,1,15,0,94,1.9728904962539673,-4.929846191406227
2002,1,1,15,30,59,2.0661392211914062,-5.188513183593727
2002,1,1,16,0,30,2.1593880653381348,-5.447210693359352
2002,1,1,16,30,0,2.232896327972412,-5.556646728515602
2002,1,1,17,0,0,2.3064045906066895,-5.666052246093727
2002,1,1,17,30,0,2.332382917404175,-5.754736328124977
2002,1,1,18,0,0,2.35836124420166,-5.843420410156227
2002,1,1,18,30,0,2.3434391021728516,-5.953497314453102
2002,1,1,19,0,0,2.328516721725464,-6.063574218749977
2002,1,1,19,30,0,2.2876157760620117,-6.197424316406227
2002,1,1,20,0,0,2.2467145919799805,-6.331274414062477
