Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,313293,-,-,-,33.41,-111.94,-7,361,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2004,1,1,0,0,0,1.1687390804290771,7.707940673828148
2004,1,1,0,30,0,1.3018832206726074,7.432214355468773
2004,1,1,1,0,0,1.4350273609161377,7.156488037109398
2004,1,1,1,30,0,1.3593904972076416,6.894860839843773
2004,1,1,2,0,0,1.283753752708435,6.633233642578148
2004,1,1,2,30,0,1.0990102291107178,6.380334472656273
2004,1,1,3,0,0,0.9142665863037109,6.127435302734398
2004,1,1,3,30,0,0.7657764554023743,5.973626708984398
2004,1,1,4,0,0,0.6172863245010376,5.819848632812523
2004,1,1,4,30,0,0.7712216377258301,5.711968994140648
2004,1,1,5,0,0,0.9251569509506226,5.604119873046898
2004,1,1,5,30,0,1.295682430267334,5.406915283203148
2004,1,1,6,0,0,1.666208028793335,5.209680175781273
2004,1,1,6,30,0,1.9029911756515503,5.153070068359398
2004,1,1,7,0,0,2.1397743225097656,5.096459960937523
2004,1,1,7,30,0,2.0833005905151367,6.318841552734398
2004,1,1,8,0,51,2.026826858520508,7.541253662109398
2004,1,1,8,30,29,1.7226901054382324,9.603540039062523
2004,1,1,9,0,31,1.4185532331466675,11.665856933593773
2004,1,1,9,30,14,1.4025557041168213,13.295037841796898
2004,1,1,10,0,92,1.3865580558776855,14.924188232421898
2004,1,1,10,30,86,1.5315428972244263,15.747796630859398
2004,1,1,11,0,94,1.676527738571167,16.571405029296898
