Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,313293,-,-,-,33.41,-111.94,-7,361,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2015,1,1,0,0,0,1.914323091506958,-0.5794128417968523
2015,1,1,0,30,0,1.8602962493896484,-0.9079345703124773
2015,1,1,1,0,0,1.8062692880630493,-1.2364257812499773
2015,1,1,1,30,0,1.6508667469024658,-1.4671386718749773
2015,1,1,2,0,0,1.4954640865325928,-1.6978210449218523
2015,1,1,2,30,0,1.2782789468765259,-1.8463195800781023
2015,1,1,3,0,0,1.061093807220459,-1.9947875976562273
2015,1,1,3,30,0,0.943529486656189,-2.1132873535156023
2015,1,1,4,0,0,0.825965166091919,-2.2317871093749773
2015,1,1,4,30,0,0.8073185682296753,-2.3042053222656023
2015,1,1,5,0,0,0.7886719107627869,-2.3766235351562273
2015,1,1,5,30,0,0.7933009266853333,-2.3566345214843523
2015,1,1,6,0,0,0.7979299426078796,-2.3366149902343523
2015,1,1,6,30,0,0.80586838722229,-2.0923217773437273
2015,1,1,7,0,0,0.8138068914413452,-1.8480590820312273
2015,1,1,7,30,0,0.8634694814682007,-0.5268005371093523
2015,1,1,8,0,12,0.9131320714950562,0.7944274902343977
2015,1,1,8,30,33,0.7873420119285583,2.2705627441406477
2015,1,1,9,0,71,0.6615519523620605,3.7466979980468977
2015,1,1,9,30,125,0.5747122764587402,4.702142333984398
2015,1,1,10,0,236,0.4878726303577423,5.657617187500023
2015,1,1,10,30,467,0.4320601224899292,6.411706542968773
2015,1,1,11,0,523,0.3762476444244385,7.165765380859398
