Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,890540,-,-,-,41.89,-87.62,-6,179,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature
2001,1,1,0,0,0,2.1980981826782227,-11.227056884765602
2001,1,1,0,30,0,2.1796674728393555,-11.388250732421852
2001,1,1,1,0,0,2.1612370014190674,-11.549475097656227
2001,1,1,1,30,0,2.2354183197021484,-11.697027587890602
2001,1,1,2,0,0,2.3095993995666504,-11.844580078124977
2001,1,1,2,30,0,2.4253158569335938,-11.568365478515602
2001,1,1,3,0,0,2.541032314300537,-11.292150878906227
2001,1,1,3,30,0,2.668654203414917,-10.980596923828102
2001,1,1,4,0,0,2.796276092529297,-10.669042968749977
2001,1,1,4,30,0,2.879328727722168,-10.699774169921852
2001,1,1,5,0,0,2.962381601333618,-10.730535888671852
2001,1,1,5,30,0,2.9966583251953125,-10.817755126953102
2001,1,1,6,0,0,3.030935287475586,-10.905004882812477
2001,1,1,6,30,0,3.055741310119629,-10.957586669921852
2001,1,1,7,0,0,3.080547571182251,-11.010168457031227
2001,1,1,7,30,2,3.124197006225586,-10.757543945312477
2001,1,1,8,0,22,3.167846441268921,-10.504919433593727
2001,1,1,8,30,46,3.1330087184906006,-9.861029052734352
2001,1,1,9,0,67,3.0981709957122803,-9.217169189453102
2001,1,1,9,30,120,2.9716129302978516,-8.315283203124977
2001,1,1,10,0,144,2.8450546264648438,-7.413397216796852
2001,1,1,10,30,185,2.8320887088775635,-6.819555664062477
2001,1,1,11,0,178,2.819122791290283,-6.225744628906227
2001,1,1,11,30,215,2.976895332336426,-5.919836425781227
2001,1,1,12,0,230,3.1346681118011475,-5.613958740234352
2001,1,1,12,30,245,3.3251805305480957,-5.538092041015602
2001,1,1,13,0,272,3.515693187713623,-5.462255859374977
2001,1,1,13,30,219,3.68241548538208,-5.522467041015602
2001,1,1,14,0,172,3.849138021469116,-5.582678222656227
2001,1,1,14,30,151,4.000628471374512,-5.912420654296852
2001,1,1,15,0,76,4.152118682861328,-6.242193603515602
2001,1,1,15,30,122,4.319071292877197,-6.651129150390602
2001,1,1,16,0,63,4.486023902893066,-7.060064697265602
2001,1,1,16,30,0,4.62259578704834,-7.422064208984352
2001,1,1,17,0,0,4.759167194366455,-7.784063720703102
2001,1,1,17,30,0,4.797779560089111,-8.028112792968727
2001,1,1,18,0,0,4.836391925811768,-8.272161865234352
2001,1,1,18,30,0,4.776669502258301,-8.488653564453102
2001,1,1,19,0,0,4.716947078704834,-8.705175781249977
2001,1,1,19,30,0,4.584851264953613,-9.050726318359352
2001,1,1,20,0,0,4.452754974365234,-9.396276855468727
2001,1,1,20,30,0,4.3181233406066895,-9.920935058593727
2001,1,1,21,0,0,4.1834917068481445,-10.445593261718727
2001,1,1,21,30,0,4.008911609649658,-10.851843261718727
2001,1,1,22,0,0,3.834331750869751,-11.258062744140602
2001,1,1,22,30,0,3.6406164169311523,-11.382330322265602
2001,1,1,23,0,0,3.446901321411133,-11.506567382812477
2001,1,1,23,30,0,3.340806484222412,-11.641668701171852
2001,1,2,0,0,0,3.2347116470336914,-11.776770019531227
2001,1,2,0,30,0,3.230621814727783,-12.016485595703102
2001,1,2,1,0,0,3.226531744003296,-12.256201171874977
2001,1,2,1,30,0,3.268526077270508,-12.630468749999977
2001,1,2,2,0,0,3.3105204105377197,-13.004766845703102
2001,1,2,2,30,0,3.2848544120788574,-13.325811767578102
2001,1,2,3,0,0,3.259188652038574,-13.646887207031227
2001,1,2,3,30,0,3.270982265472412,-13.911444091796852
2001,1,2,4,0,0,3.282775640487671,-14.176031494140602
2001,1,2,4,30,0,3.345485210418701,-14.465826416015602
2001,1,2,5,0,0,3.4081945419311523,-14.755621337890602
2001,1,2,5,30,0,3.5059614181518555,-15.032659912109352
2001,1,2,6,0,0,3.6037282943725586,-15.309698486328102
2001,1,2,6,30,0,3.733304262161255,-15.515844726562477
2001,1,2,7,0,0,3.862880229949951,-15.722021484374977
2001,1,2,7,30,5,3.9743967056274414,-15.597113037109352
2001,1,2,8,0,43,4.085913181304932,-15.472235107421852
2001,1,2,8,30,90,4.116877555847168,-14.957037353515602
2001,1,2,9,0,136,4.147841453552246,-14.441870117187477
2001,1,2,9,30,190,4.252317905426025,-13.603613281249977
2001,1,2,10,0,191,4.356794357299805,-12.765356445312477
2001,1,2,10,30,186,4.582541465759277,-11.899999999999977
2001,1,2,11,0,223,4.808288097381592,-11.034643554687477
2001,1,2,11,30,278,4.973112106323242,-10.289373779296852
2001,1,2,12,0,296,5.137936115264893,-9.544104003906227
2001,1,2,12,30,284,5.280614852905273,-9.085272216796852
2001,1,2,13,0,285,5.423293590545654,-8.626470947265602
2001,1,2,13,30,279,5.574407577514648,-8.432165527343727
2001,1,2,14,0,190,5.725521564483643,-8.237860107421852
2001,1,2,14,30,158,5.843225479125977,-8.433905029296852
2001,1,2,15,0,97,5.9609293937683105,-8.629919433593727
2001,1,2,15,30,127,6.148125648498535,-9.281317138671852
2001,1,2,16,0,65,6.33532190322876,-9.932684326171852
2001,1,2,16,30,0,6.618034362792969,-10.412115478515602
2001,1,2,17,0,0,6.9007463455200195,-10.891577148437477
2001,1,2,17,30,0,7.185361385345459,-11.208929443359352
2001,1,2,18,0,0,7.469976425170898,-11.526312255859352
2001,1,2,18,30,0,7.708125114440918,-11.824774169921852
2001,1,2,19,0,0,7.946273326873779,-12.123236083984352
2001,1,2,19,30,0,8.10635757446289,-12.478247070312477
2001,1,2,20,0,0,8.266441345214844,-12.833258056640602
2001,1,2,20,30,0,8.445281982421875,-13.099340820312477
2001,1,2,21,0,0,8.624123573303223,-13.365454101562477
2001,1,2,21,30,0,8.871254920959473,-13.613439941406227
2001,1,2,22,0,0,9.118386268615723,-13.861395263671852
2001,1,2,22,30,0,9.354557037353516,-14.041265869140602
2001,1,2,23,0,0,9.590727806091309,-14.221136474609352
2001,1,2,23,30,0,9.786331176757812,-14.339239501953102
2001,1,3,0,0,0,9.981935501098633,-14.457312011718727
2001,1,3,0,30,0,10.071956634521484,-14.569189453124977
2001,1,3,1,0,0,10.16197681427002,-14.681097412109352
2001,1,3,1,30,0,10.174654960632324,-14.731817626953102
